00:No Effect


01:Stereo Dyna Compressor
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 5   | Envelope Select                                  | 00~01        | L/R Mix~L/R individuall|  5  |
|     | 7~6 | Sensitivity                                      | 01~64        | 1~100                  |  6  |
|  4  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Attack                                           | 01~64        | 1~100                  |  7  |
|  5  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Pre LEQ Gain                                     | E2~1E        | -15.0~+15.0            |  8  |
|  6  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Pre HEQ Gain                                     | E2~1E        | -15.0~+15.0            |  9  |
|  7  | 6~0 | Output Level                                     | 00~64        | 0~100                  | 10  |
|     | 7   | Output Level Mod.Source                          | 00~25        | Off~Tempo              | 11  |
|  8  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Output Level Mod.Intensity                       | 9C~64        | -100~+100              | 12  |
|  9  | 4~0 |                                                  |              |                        |     |
|     | 5   | Pre LEQ Fc                                       | 00~01        | Low~Mid-Low            | 13  |
|     | 6   | Pre HEQ Fc                                       | 00~01        | High~Mid-High          | 14  |
+=====+=====+==================================================+==============+========================+=====+


02:Stereo Compressor
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 6~5 | Envelope Source                                  | 00~02        | Input~FX Control2      |  5  |
|     | 7   | Envelope Select                                  | 00~03        | L/R Mix~L/R Stereo     |  6  |
|  4  | 0   |                                                  |              |                        |     |
