Global Size: 24708 byte                                                                                          Version 1.01 (Aug  6, 2014)
Object Version: 1
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
| OFS   | bit | parameter             | parameter                                  | data(hex)    | value              |TYP|SOC|SUB|PID|IDX|
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
|     0 |     | Basic                 | Master Tune                                | CE~32        | -50~50             | 15|  0|  0|  0|  0|
|     1 |     | Basic                 | Key Transpose                              | F4~0C        | -12~12             | 15|  0|  0|  1|  0|
|     2 |     | Basic                 | Velocity Curve                             | 00~08        | 1~9                | 15|  0|  0|  2|  0|
|     3 |     | Basic                 | Aftertouch Curve                           | 00~07        | 1~8                | 15|  0|  0|  3|  0|
|     4 | 0   | Controller            | Foot SW Polarity                           | 00~01        | -~+                | 15|  0|  0| 35|  0|
|       | 1   | Controller            | Damper Polarity                            | 00~01        | -~+                | 15|  0|  0| 34|  0|
|       | 2   | MIDI                  | MIDI Convert Position                      | 00~01        | PreMIDI~PostMIDI   | 15|  0|  0| 22|  0|
|       | 3   | Basic                 | Prog Auto KARMA                            | 00~01        | Off~On             |   |   |   |   |   |
|       | 4   | Basic                 | Combi Auto KARMA                           | 00~01        | Off~On             |   |   |   |   |   |
|       | 5   | Basic                 | All KARMA Off                              | 00~01        | Off~On             |   |   |   |   |   |
|       | 6   | Basic                 | Knob Slider Mode                           | 00~01        | Jump~Catch         | 15|  0|  0| 11|  0|
|       | 7   | Basic                 | Auto Optimize Ram                          | 00~01        | Off~On             |   |   |   |   |   |
|     5 |     | Controller            | Foot SW Assign                             | 00~35        | Off~Chord SW       | 15|  0|  0| 32|  0|
|     6 |     | Controller            | Foot Pedal Assign                          | 00~1F        | Off~KARMA Slider 8 | 15|  0|  0| 33|  0|
|     7 | 0~1 | Basic                 | System Clock                               | 00~02        | Internal~S/P DIF   | 15|  0|  0| 51|  0|
|       | 2~3 | Basic                 | SPDIF SampleRate                           | 00~02        | 48kHz~96kHz Hi     | 15|  0|  0|  9|  0|
|       | 4   | Basic                 | HDR Bit Depth                              | 00~01        | 16~24              |   |   |   |   |   |
|       | 5   | Basic                 | Sampling to Disk Bit Depth                 | 00~01        | 16~24              |   |   |   |   |   |
|       | 6   | Basic                 | Sampling to Ram Bit Depth                  | 00~01        | 16~24              |   |   |   |   |   |
|       | 7   | Basic                 | Show MS/WS/DKit Graphics                   | 00~01        | Off~On             | 15|  0|  0| 56|  0|
|     8 | 0~2 | Basic                 | Headroom                                   | 00~04        | Standard~+48dB     | 15|  0|  0|  8|  0|
|     9 | 0   | MIDI                  | Vector MIDI Out                            | 00~01        | Joystick~CC Control| 15|  0|  0| 25|  0|
|       | 1   | MIDI                  | Pads MIDI Out                              | 00~01        | CC/Note~Chord Notes|   |   |   |   |   |
|       | 2   | MIDI                  | KARMA Module to MIDI Out                   | 00~01        | Off~On             |   |   |   |   |   |
|       | 3   | MIDI                  | MIDI In to KARMA Module                    | 00~01        | Off~On             |   |   |   |   |   |
|       | 4   | MIDI                  | SEQ Track MIDI Out                         | 00~01        | for Master~Ext Seq | 15|  0|  0| 52|  0|
|       | 5   | MIDI                  | SEQ Param MIDI Out                         | 00~01        | Ctrl Chg~Param Chg | 15|  0|  0| 53|  0|
|       | 6   | Basic                 | Drum Track Off                             | 00~01        | Off~On             |   |   |   |   |   |
|       | 7   | Controller            | Foot Pedal Behavior                        | 00~01        | Keep Current~Reset | 15|  0|  0|108|  0|
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
|    10 |     | MIDI                  | (External Set1 - Knob1) Channel            | 00~10        | 1~Gch              | 15|  0|  0| 40|  0|
|    11 |     | MIDI                  | (External Set1 - Knob1) CC# Assign         | FF~77        | Off~CC#119         | 15|  0|  0| 41|  0|
|    12 |     | MIDI                  | (External Set1 - Knob2) Channel            | 00~10        | 1~Gch              | 15|  0|  0| 40|  1|
|    13 |     | MIDI                  | (External Set1 - Knob2) CC# Assign         | FF~77        | Off~CC#119         | 15|  0|  0| 41|  1|
|    14 |     | MIDI                  | (External Set1 - Knob3) Channel            | 00~10        | 1~Gch              | 15|  0|  0| 40|  2|
|    15 |     | MIDI                  | (External Set1 - Knob3) CC# Assign         | FF~77        | Off~CC#119         | 15|  0|  0| 41|  2|
|    16 |     | MIDI                  | (External Set1 - Knob4) Channel            | 00~10        | 1~Gch              | 15|  0|  0| 40|  3|
|    17 |     | MIDI                  | (External Set1 - Knob4) CC# Assign         | FF~77        | Off~CC#119         | 15|  0|  0| 41|  3|
|    18 |     | MIDI                  | (External Set1 - Knob5) Channel            | 00~10        | 1~Gch              | 15|  0|  0| 40|  4|
|    19 |     | MIDI                  | (External Set1 - Knob5) CC# Assign         | FF~77        | Off~CC#119         | 15|  0|  0| 41|  4|
|    20 |     | MIDI                  | (External Set1 - Knob6) Channel            | 00~10        | 1~Gch              | 15|  0|  0| 40|  5|
|    21 |     | MIDI                  | (External Set1 - Knob6) CC# Assign         | FF~77        | Off~CC#119         | 15|  0|  0| 41|  5|
|    22 |     | MIDI                  | (External Set1 - Knob7) Channel            | 00~10        | 1~Gch              | 15|  0|  0| 40|  6|
|    23 |     | MIDI                  | (External Set1 - Knob7) CC# Assign         | FF~77        | Off~CC#119         | 15|  0|  0| 41|  6|
|    24 |     | MIDI                  | (External Set1 - Knob8) Channel            | 00~10        | 1~Gch              | 15|  0|  0| 40|  7|
|    25 |     | MIDI                  | (External Set1 - Knob8) CC# Assign         | FF~77        | Off~CC#119         | 15|  0|  0| 41|  7|
|    26 |     | MIDI                  | (External Set1 - Switch1) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  0|
|    27 |     | MIDI                  | (External Set1 - Switch1) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  0|
|    28 |     | MIDI                  | (External Set1 - Switch2) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  1|
|    29 |     | MIDI                  | (External Set1 - Switch2) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  1|
|    30 |     | MIDI                  | (External Set1 - Switch3) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  2|
|    31 |     | MIDI                  | (External Set1 - Switch3) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  2|
|    32 |     | MIDI                  | (External Set1 - Switch4) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  3|
|    33 |     | MIDI                  | (External Set1 - Switch4) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  3|
|    34 |     | MIDI                  | (External Set1 - Switch5) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  4|
|    35 |     | MIDI                  | (External Set1 - Switch5) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  4|
|    36 |     | MIDI                  | (External Set1 - Switch6) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  5|
|    37 |     | MIDI                  | (External Set1 - Switch6) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  5|
|    38 |     | MIDI                  | (External Set1 - Switch7) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  6|
|    39 |     | MIDI                  | (External Set1 - Switch7) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  6|
|    40 |     | MIDI                  | (External Set1 - Switch8) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  7|
|    41 |     | MIDI                  | (External Set1 - Switch8) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  7|
|    42 |     | MIDI                  | (External Set1 - Switch9) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 44|  0|
|    43 |     | MIDI                  | (External Set1 - Switch9) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 45|  0|
|    44 |     | MIDI                  | (External Set1 - Switch10) Channel         | 00~10        | 1~Gch              | 15|  0|  0| 44|  1|
|    45 |     | MIDI                  | (External Set1 - Switch10) CC# Assign      | FF~77        | Off~CC#119         | 15|  0|  0| 45|  1|
