0:Off


1:HD-1


2:AL-1, Number Of Param. = 609
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                                           | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+
|    0 | 6~0 | [OSC] Delay Start                                   | 00~61        | 0~Off              |11/12|127|  0|  0|  0|
|    1 | 4~0 | [LFO1] Waveform                                     | 00~11        | Triangle~Random6(Co|11/12|  6|  0|  0|  0|
|      | 7~5 | [LFO1] Start Phase                                  | DC~25        | -180~RND           |11/12|  6|  0|  1|  0|
|    2 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO1] Shape                                        | 9D~63        | -99~+99            |11/12|  6|  0|  2|  0|
|    3 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO1] Shape Mod.Source                             | 00~34        | Off~Tempo          |11/12|  6|  0|  3|  0|
|    4 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO1] Shape Mod.Intensity                          | 9D~63        | -99~+99            |11/12|  6|  0|  4|  0|
|    5 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO1] Frequency                                    | 00~63        | 0~99               |11/12|  6|  0|  5|  0|
|    6 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [LFO1] Frequency Fine                               | 00~63        | 0~99               |11/12|  6|  0|  6|  0|
|    7 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 2   | [LFO1] Stop                                         | 00~01        | Off~On             |11/12|  6|  0|  7|  0|
|      | 7~3 | [LFO1] Offset                                       | 9D~63        | -99~+99            |11/12|  6|  0|  8|  0|
|    8 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 3   | [LFO1] Key Sync                                     | 00~01        | Off~On             |11/12|  6|  0|  9|  0|
|      | 7~4 | [LFO1] Fade In                                      | 00~63        | 0~99               |11/12|  6|  0| 10|  0|
