Song Control Size: 5264 byte
Object Version: 0
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
| OFS   | bit | parameter             | parameter                                  | data(hex)    | value              |TYP|SOC|SUB|PID|IDX|
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
|     0 | 7   |                       | RPPR On/Off                                | 00~01        | Off~On             |   |   |   |   |   |
|     1 |     |                       | CurrentTrack                               | 00~20        | 00~32              |   |   |   |   |   |
|     2 |     |                       | Meter                                      | 10~3F        | 1/4~16/16          |   |   |   |   |   |
|     3 |     |                       | Tempo Mode                                 | 00~03        | Auto~Ext           |   |   |   |   |   |
|     4 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|     5 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|     6 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|     7 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
|     8 |     | Metronome             | Volume                                     | 00~7F        | 0~127              | 36|  0|  0|  0|  0|
|     9 |     | Metronome             | Bus                                        | 00~0A        | L/R~7/8            | 36|  0|  0|  1|  0|
|    10 |     | Metronome             | Precount Measure                           | 00~02        | 0~2                |   |   |   |   |   |
|    11 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
|    12 |     | MIDI Track 01         | Event Offset                               | 000000~249EF8| 0~2399992          |   |   |   |   |   |
|    13 |     |                       |                                            |              |                    |   |   |   |   |   |
|    14 |     |                       |                                            |              |                    |   |   |   |   |   |
|    15 |     |                       |                                            |              |                    |   |   |   |   |   |
|    16 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    17 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    18 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    19 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    20 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    21 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    22 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    23 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    24 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    25 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    26 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    27 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    28 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    29 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    30 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    31 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    32 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    33 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    34 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    35 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    36 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    37 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    38 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    39 |     | MIDI Track 01         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|    40 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
